Size,OD,ID,t,A,W,I,S,Z,r,J,Rblt
HSS 10.5 x 0.75,10.500,9.000,0.750,23.0,27.0,275,52.3,71.4,3.46,546,6.5
HSS 11 x 0.375,11.000,10.250,0.375,12.5,14.7,177,32.2,42.4,3.76,353,14.2
HSS 11 x 0.5,11.000,10.000,0.500,16.5,19.4,228,41.4,55.2,3.72,455,10.5
HSS 11 x 0.75,11.000,9.500,0.750,24.2,28.4,319,58.0,78.9,3.63,634,6.8
HSS 11 x 1,11.000,9.000,1.000,31.4,36.9,397,72.1,100,3.55,785,5.0
HSS 12 x 0.25,12.000,11.500,0.250,9.23,10.9,159,26.6,34.5,4.16,319,23.5
HSS 12 x 0.375,12.000,11.250,0.375,13.7,16.1,232,38.6,50.7,4.11,463,15.5
HSS 12 x 0.5,12.000,11.000,0.500,18.1,21.2,299,49.9,66.2,4.07,597,11.5
HSS 12 x 0.75,12.000,10.500,0.750,26.5,31.2,421,70.2,95.1,3.99,839,7.5
HSS 12 x 1,12.000,10.000,1.000,34.6,40.6,527,87.8,121,3.91,1045,5.5
PIPE 1/8 Sched 40,0.405,0.269,0.068,0.0720,0.085,0.0011,0.0053,0.00783,0.122,0.00204,2.48
PIPE 1/8 Sched 80,0.405,0.215,0.095,0.0925,0.109,0.0012,0.0060,0.00942,0.115,0.00222,1.63
PIPE 1/4 Sched 40,0.540,0.364,0.088,0.125,0.147,0.0033,0.012,0.0182,0.163,0.00638,2.57
PIPE 1/4 Sched 80,0.540,0.302,0.119,0.157,0.185,0.0038,0.014,0.0217,0.155,0.00697,1.77
PIPE 3/8 Sched 40,0.675,0.493,0.091,0.167,0.196,0.0073,0.022,0.0313,0.209,0.0142,3.21
PIPE 3/8 Sched 80,0.675,0.423,0.126,0.217,0.256,0.0086,0.026,0.0386,0.199,0.0164,2.18
PIPE 1/2 Sched 5,0.840,0.710,0.065,0.158,0.186,0.012,0.028,0.0391,0.275,0.0238,5.96
PIPE 1/2 Sched 10,0.840,0.674,0.083,0.197,0.232,0.014,0.034,0.0478,0.269,0.0283,4.56
PIPE 1/2 Sched 40,0.840,0.622,0.109,0.250,0.294,0.017,0.041,0.0587,0.261,0.0334,3.35
PIPE 1/2 Sched 80,0.840,0.546,0.147,0.320,0.376,0.020,0.048,0.0717,0.250,0.0384,2.36
PIPE 1/2 Sched 160,0.840,0.464,0.188,0.385,0.453,0.022,0.053,0.0821,0.240,0.0409,1.73
PIPE 3/4 Sched 5,1.050,0.920,0.065,0.201,0.237,0.025,0.047,0.0632,0.349,0.0488,7.58
PIPE 3/4 Sched 10,1.050,0.884,0.083,0.252,0.297,0.030,0.057,0.0778,0.343,0.0589,5.83
PIPE 3/4 Sched 40,1.050,0.824,0.113,0.333,0.391,0.037,0.071,0.0997,0.334,0.0730,4.15
PIPE 3/4 Sched 80,1.050,0.742,0.154,0.433,0.51,0.045,0.085,0.125,0.321,0.0870,2.91
PIPE 3/4 Sched 160,1.050,0.612,0.219,0.572,0.672,0.053,0.101,0.155,0.304,0.0987,1.90
PIPE 1 Sched 5,1.315,1.185,0.065,0.255,0.300,0.050,0.076,0.102,0.443,0.100,9.62
PIPE 1 Sched 10,1.315,1.097,0.109,0.413,0.486,0.076,0.115,0.159,0.428,0.150,5.53
PIPE 1 Sched 40,1.315,1.049,0.133,0.494,0.581,0.087,0.133,0.187,0.421,0.173,4.44
PIPE 1 Sched 80,1.315,0.957,0.179,0.639,0.751,0.106,0.161,0.233,0.407,0.206,3.17
PIPE 1 Sched 160,1.315,0.815,0.250,0.836,0.984,0.125,0.190,0.289,0.387,0.237,2.13
PIPE 1.25 Sched 5,1.660,1.530,0.065,0.326,0.383,0.104,0.125,0.165,0.564,0.207,12.3
PIPE 1.25 Sched 10,1.660,1.442,0.109,0.531,0.625,0.160,0.193,0.263,0.550,0.319,7.11
