Size,OD,ID,t,A,W,I,S,Z,r,J,Rblt
PIPE 8 Sched 160,8.625,6.813,0.906,22.0,25.8,166,38.5,54.2,2.75,327,4.3
PIPE 10 Sched 5,10.750,10.482,0.134,4.47,5.26,63.0,11.7,15.1,3.75,126,39.6
PIPE 10 Sched 10,10.750,10.420,0.165,5.49,6.45,76.9,14.3,18.5,3.74,154,32.1
PIPE 10 Sched 20,10.750,10.250,0.25,8.25,9.70,114,21.2,27.6,3.71,227,21.0
PIPE 10 Sched 30,10.750,10.136,0.307,10.1,11.8,137,25.6,33.5,3.69,275,17.0
PIPE 10 Sched 40,10.750,10.020,0.365,11.9,14.0,161,29.9,39.4,3.67,321,14.2
PIPE 10 Sched 60,10.750,9.750,0.500,16.1,18.9,212,39.4,52.6,3.63,423,10.3
PIPE 10 Sched 80,10.750,9.562,0.594,19,22.3,245,45.6,61.3,3.60,489,8.5
PIPE 10 Sched 100,10.750,9.312,0.719,22.7,26.6,286,53.3,72.5,3.56,570,7.0
PIPE 12 Sched 5,12.750,12.438,0.156,6.17,7.26,122,19.2,24.7,4.45,245,40.4
PIPE 12 Sched 10,12.750,12.390,0.180,7.11,8.36,140,22.0,28.4,4.44,281,34.9
PIPE 12 Sched 20,12.750,12.250,0.250,9.82,11.5,192,30.1,39.1,4.42,383,25.0
PIPE 12 Sched 30,12.750,12.090,0.330,12.9,15.1,248,39.0,50.9,4.39,497,18.8
PIPE 12 Sched 40,12.750,11.938,0.406,15.7,18.5,300,47.1,61.9,4.37,600,15.2
PIPE 12 Sched 60,12.750,11.626,0.562,21.5,25.3,400,62.8,83.5,4.31,799,10.8
PIPE 12 Sched 80,12.750,11.374,0.688,26.1,30.7,476,74.6,100,4.27,948,8.8
