Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,x,eo,xp,b/t,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,rts,ho,PA,PB,PC,PD,T,WGi
MC,MC18X51.9,MC18X51.9,F,51.9,15.3,18,18,4.1,4  1/8 ,0.6,  5/8 ,  5/16,0.625,  5/8 ,1.44,1  7/16,0.858,0.797,0.424,6.56,25.8,627,87.3,69.6,6.41,16.3,9.86,5.02,1.03,2.03,985,23.5,19.9,16.6,8.31,19,43.3,6.7,0.939,1.35,17.4,46.7,50.8,40.1,44.2,15  1/8 ,2  1/2 
MC,MC18X45.8,MC18X45.8,F,45.8,13.5,18,18,4,4,0.5,  1/2 ,  1/4 ,0.625,  5/8 ,1.44,1  7/16,0.866,0.909,0.374,6.4,31,578,79.2,64.2,6.55,14.9,9.14,4.77,1.05,1.45,897,22.5,18.3,14.6,7.33,19,39.3,6.87,0.933,1.34,17.4,46.5,50.5,40,44,15  1/8 ,2  1/2 
MC,MC18X42.7,MC18X42.7,F,42.7,12.6,18,18,3.95,4,0.45,  7/16,  1/4 ,0.625,  5/8 ,1.44,1  7/16,0.877,0.969,0.349,6.32,34.4,554,75.1,61.5,6.64,14.3,8.82,4.64,1.07,1.23,852,22,17.4,13.5,6.83,19,37.2,6.97,0.93,1.34,17.4,46.3,50.3,40,43.9,15  1/8 ,2  1/2 
MC,MC13X50,MC13X50,F,50,14.7,13,13,4.41,4  3/8 ,0.787, 13/16,  7/16,0.61,  5/8 ,1.44,1  7/16,0.974,0.815,0.566,7.23,13.7,314,60.8,48.3,4.62,16.4,10.2,4.77,1.06,2.96,558,17.4,14.9,12.1,6.18,13.7,30.3,5.07,0.875,1.41,12.4,37.6,42,30.4,34.8,10  1/8 ,2  1/2 
MC,MC13X40,MC13X40,F,40,11.7,13,13,4.19,4  1/8 ,0.56,  9/16,  5/16,0.61,  5/8 ,1.44,1  7/16,0.963,1.03,0.452,6.87,19.3,273,51.2,41.9,4.82,13.7,8.66,4.24,1.08,1.55,462,16.1,12.8,9.54,4.56,13.7,25.5,5.32,0.859,1.38,12.4,37,41.1,30.2,34.4,10  1/8 ,2  1/2 
MC,MC13X35,MC13X35,F,35,10.3,13,13,4.07,4  1/8 ,0.447,  7/16,  1/4 ,0.61,  5/8 ,1.44,1  7/16,0.98,1.16,0.396,6.67,24.2,252,46.5,38.8,4.95,12.3,8.04,3.97,1.09,1.13,412,15.3,11.5,7.85,4.04,13.7,23.1,5.5,0.849,1.35,12.4,36.7,40.7,30.1,34.1,10  1/8 ,2  1/2 
MC,MC13X31.8,MC13X31.8,F,31.8,9.35,13,13,4,4,0.375,  3/8 ,  3/16,0.61,  5/8 ,1.44,1  7/16,1,1.24,0.36,6.56,28.9,239,43.4,36.7,5.05,11.4,7.69,3.79,1.1,0.937,380,14.8,10.8,6.9,3.39,13.7,21.6,5.64,0.842,1.34,12.4,36.5,40.5,30,34,10  1/8 ,2  1/2 
MC,MC12X50,MC12X50,F,50,14.7,12,12,4.14,4  1/8 ,0.835, 13/16,  7/16,0.7, 11/16,1.31,1  5/16,1.05,0.741,0.613,5.91,11.5,269,56.5,44.9,4.28,17.4,10.9,5.64,1.09,3.23,411,14.5,13,10.3,5.14,13.1,28.1,4.77,0.859,1.37,11.3,35,39.1,28.1,32.3,9  3/8 ,2  1/2 
MC,MC12X45,MC12X45,F,45,13.2,12,12,4.01,4,0.71, 11/16,  3/8 ,0.7, 11/16,1.31,1  5/16,1.04,0.844,0.55,5.73,13.5,251,52,41.9,4.36,15.8,10.1,5.3,1.09,2.33,373,13.9,11.9,9.09,4.5,13.1,25.8,4.88,0.851,1.35,11.3,34.6,38.6,28,32,9  3/8 ,2  1/2 
MC,MC12X40,MC12X40,F,40,11.8,12,12,3.89,3  7/8 ,0.59,  9/16,  5/16,0.7, 11/16,1.31,1  5/16,1.04,0.952,0.49,5.56,16.3,234,47.7,39,4.46,14.2,9.31,4.98,1.1,1.69,336,13.3,10.9,7.83,3.91,13.1,23.7,5.01,0.842,1.33,11.3,34.3,38.2,27.9,31.8,9  3/8 ,2  1/2 
