Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,OD,tnom,tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS,HSS1.9X.145,HSS1.900X0.145,F,2.72,0.749,1.9,0.145,0.135,14.1,0.293,0.421,0.309,0.626,0.293,0.421,0.309,0.626,0.586,0.617
HSS,HSS1.9X.120,HSS1.900X0.120,F,2.28,0.624,1.9,0.12,0.111,17.1,0.251,0.356,0.264,0.634,0.251,0.356,0.264,0.634,0.501,0.527
HSS,HSS1.66X.140,HSS1.660X0.140,F,2.27,0.625,1.66,0.14,0.13,12.8,0.184,0.305,0.222,0.543,0.184,0.305,0.222,0.543,0.368,0.444
PIPE,Pipe26STD,Pipe26STD,F,103,28.2,26,0.375,0.349,74.5,2320,230,178,9.07,2320,230,178,9.07,4640,–
PIPE,Pipe24SCH20,Pipe24STD,F,94.7,26,24,0.375,0.349,68.8,1820,196,152,8.36,1820,196,152,8.36,3640,–
PIPE,Pipe20SCH20,Pipe20STD,F,78.7,21.6,20,0.375,0.349,57.3,1040,135,104,6.95,1040,135,104,6.95,2090,–
PIPE,Pipe18STD,Pipe18STD,F,70.7,19.4,18,0.375,0.349,51.6,756,109,84,6.24,756,109,84,6.24,1510,–
PIPE,Pipe16SCH30,Pipe16STD,F,62.6,17.2,16,0.375,0.349,45.8,527,85.7,65.9,5.53,527,85.7,65.9,5.53,1050,–
PIPE,Pipe14SCH30,Pipe14STD,F,54.6,15,14,0.375,0.349,40.1,350,65.2,50,4.83,350,65.2,50,4.83,700,–
PIPE,Pipe12STD,Pipe12STD,F,49.6,13.7,12.75,0.375,0.349,36.5,262,53.7,41,4.39,262,53.7,41,4.39,523,–
PIPE,Pipe10SCH40,Pipe10STD,F,40.5,11.5,10.75,0.365,0.34,31.6,151,36.9,28.1,3.68,151,36.9,28.1,3.68,302,–
PIPE,Pipe8SCH40,Pipe8STD,F,28.6,7.85,8.625,0.322,0.3,28.8,68.1,20.8,15.8,2.95,68.1,20.8,15.8,2.95,136,–
PIPE,Pipe6SCH40,Pipe6STD,F,19,5.2,6.625,0.28,0.261,25.4,26.5,10.6,7.99,2.25,26.5,10.6,7.99,2.25,52.9,–
PIPE,Pipe5SCH40,Pipe5STD,F,14.6,4.01,5.563,0.258,0.241,23.1,14.3,6.83,5.14,1.88,14.3,6.83,5.14,1.88,28.6,–
PIPE,Pipe4SCH40,Pipe4STD,F,10.8,2.96,4.5,0.237,0.221,20.4,6.82,4.05,3.03,1.51,6.82,4.05,3.03,1.51,13.6,–
PIPE,Pipe3-1/2SCH40,Pipe3-1/2STD,F,9.12,2.5,4,0.226,0.211,19,4.52,3.03,2.26,1.34,4.52,3.03,2.26,1.34,9.04,–
