Size,Type,d,b,t,R1,R2,W,A,Ix,Sx,rx,y,Iy,Sy,ry,x,Iz,rz,a
L 3 1/2 x 3 x 5/16,Aluminum Association,3.500,3.000,0.312,0.375,0.250,2.27,1.93,2.26,0.918,1.08,1.04,1.53,0.692,0.888,0.793,0.701,0.602,36.04
L 3 1/2 x 3 x 3/8,Aluminum Association,3.500,3.000,0.375,0.375,0.250,2.71,2.30,2.66,1.09,1.08,1.07,1.79,0.822,0.883,0.819,0.838,0.603,35.90
L 3 1/2 x 3 x 1/2,Aluminum Association,3.500,3.000,0.500,0.375,0.250,3.53,3.00,3.39,1.42,1.06,1.11,2.28,1.07,0.871,0.867,1.10,0.605,35.63
L 4 x 3 x 1/4,Aluminum Association,4.000,3.000,0.250,0.375,0.250,1.99,1.69,2.69,0.963,1.26,1.21,1.30,0.568,0.875,0.719,0.651,0.620,29.39
L 4 x 3 x 5/16,Aluminum Association,4.000,3.000,0.312,0.375,0.250,2.46,2.09,3.29,1.19,1.26,1.24,1.59,0.703,0.871,0.746,0.810,0.623,29.19
L 4 x 3 x 3/8,Aluminum Association,4.000,3.000,0.375,0.375,0.250,2.93,2.49,3.88,1.42,1.25,1.27,1.86,0.836,0.865,0.771,0.967,0.624,29.00
L 4 x 3 x 7/16,Aluminum Association,4.000,3.000,0.438,0.375,0.250,3.38,2.88,4.44,1.64,1.24,1.29,2.13,0.964,0.859,0.796,1.12,0.624,28.81
L 4 x 3 x 1/2,Aluminum Association,4.000,3.000,0.500,0.375,0.250,3.83,3.25,4.97,1.85,1.24,1.31,2.37,1.09,0.853,0.819,1.27,0.624,28.62
L 4 x 3 x 5/8,Aluminum Association,4.000,3.000,0.625,0.375,0.250,4.69,3.99,5.96,2.26,1.22,1.36,2.82,1.32,0.841,0.866,1.56,0.625,28.20
L 4 x 3 1/2 x 5/16,Aluminum Association,4.000,3.500,0.312,0.375,0.312,2.62,2.23,3.41,1.20,1.24,1.16,2.43,0.938,1.04,0.913,1.06,0.691,37.33
