Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,y,yp,bf/2tf,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi
WT,WT4X15.5,WT4X15.5,F,15.5,4.56,4,4,8,8,0.285,  5/16,  3/16,0.435,  7/16,0.829,1  1/8 ,0.668,0.285,9.19,14,4.28,2.39,1.28,0.969,18.5,7.03,4.64,2.02,0.267,0.327,2.28,0.961,15.5,23.5,16,24,5  1/2 
WT,WT4X14,WT4X14,F,14,4.12,4.03,4,6.54,6  1/2 ,0.285,  5/16,  3/16,0.465,  7/16,0.859, 15/16,0.734,0.315,7.03,14.1,4.23,2.38,1.28,1.01,10.8,5.04,3.31,1.62,0.268,0.23,1.98,0.935,14.2,20.8,14.6,21.1,4
WT,WT4X12,WT4X12,F,12,3.54,3.97,4,6.5,6  1/2 ,0.245,  1/4 ,  1/8 ,0.4,  3/8 ,0.794,  7/8 ,0.695,0.272,8.12,16.2,3.53,1.98,1.08,0.999,9.14,4.28,2.81,1.61,0.173,0.144,1.96,0.936,14.1,20.6,14.4,20.9,4
WT,WT4X10.5,WT4X10.5,F,10.5,3.08,4.14,4  1/8 ,5.27,5  1/4 ,0.25,  1/4 ,  1/8 ,0.4,  3/8 ,0.7,  7/8 ,0.831,0.292,6.59,16.6,3.9,2.11,1.18,1.12,4.88,2.84,1.85,1.26,0.141,0.0916,1.8,0.877,13.2,18.5,13.6,18.8,2  3/4 
WT,WT4X9,WT4X9,F,9,2.63,4.07,4  1/8 ,5.25,5  1/4 ,0.23,  1/4 ,  1/8 ,0.33,  5/16,0.63, 13/16,0.834,0.251,7.95,17.7,3.41,1.86,1.05,1.14,3.98,2.33,1.52,1.23,0.0855,0.0562,1.8,0.863,13.1,18.3,13.4,18.6,2  3/4 
WT,WT4X7.5,WT4X7.5,F,7.5,2.22,4.06,4,4.02,4,0.245,  1/4 ,  1/8 ,0.315,  5/16,0.615, 13/16,0.998,0.276,6.37,16.6,3.28,1.91,1.07,1.22,1.7,1.33,0.849,0.876,0.0679,0.0382,1.72,0.76,11.8,15.8,12.1,16.2,2  1/4 
WT,WT4X6.5,WT4X6.5,F,6.5,1.92,4,4,4,4,0.23,  1/4 ,  1/8 ,0.255,  1/4 ,0.555,  3/4 ,1.03,0.24,7.84,17.4,2.89,1.74,0.974,1.23,1.36,1.07,0.682,0.843,0.0433,0.0269,1.74,0.733,11.7,15.7,12,16,2  1/4 
WT,WT4X5,WT4X5,F,5,1.48,3.95,4,3.94,4,0.17,  3/16,  1/8 ,0.205,  3/16,0.505, 11/16,0.953,0.188,9.61,23.2,2.15,1.27,0.717,1.2,1.05,0.826,0.531,0.84,0.0212,0.0114,1.7,0.749,11.5,15.4,11.8,15.8,2  1/4 
WT,WT3X12.5,WT3X12.5,F,12.5,3.67,3.19,3  1/4 ,6.08,6  1/8 ,0.32,  5/16,  3/16,0.455,  7/16,0.705, 15/16,0.61,0.302,6.68,10,2.29,1.68,0.886,0.789,8.53,4.28,2.81,1.52,0.229,0.171,1.76,0.953,12.1,18.2,12.5,18.5,3  1/2 
WT,WT3X10,WT3X10,F,10,2.94,3.1,3  1/8 ,6.02,6,0.26,  1/4 ,  1/8 ,0.365,  3/8 ,0.615,  7/8 ,0.56,0.244,8.25,11.9,1.76,1.29,0.693,0.774,6.64,3.36,2.21,1.5,0.12,0.0858,1.73,0.953,11.9,17.9,12.2,18.2,3  1/2 
